governor_id,started,cancelled,completed,hit_target,joined,name
81422366,70,18,50,51,31,灰Šataň
179719789,49,7,41,41,14,ĐậuĐậu松
163292091,64,11,53,53,96,AlongHK
187200379,17,3,14,14,67,ˣᵒHennessy
178722545,72,10,62,62,92,Not PoNskie
178806902,55,7,48,48,75,sᴏᴊɪʀᴏ
174585155,66,6,59,59,53,Avis ツ
62957514,130,14,115,115,0,HieuVMxNewStart
185123462,139,17,122,122,206,Tuananh21ᶦᴺ
185866462,150,18,132,132,132,Ari no me
187799168,12,0,12,12,122,ˣøızysˣ
187800242,58,14,44,44,63,king Angon
177327767,12,3,9,9,111,AKAA
177811515,21,0,21,21,68,Top1Riseᶦᴺ
187389003,58,12,45,46,109,紅昭願
183649821,1,1,0,0,1,ˢʰᵒTrav2408
98351074,98,3,95,95,29,ᶦᴺBuckNaked
177593900,79,13,65,65,23,TheGSquad
167259324,86,18,68,68,38,anh  7 gà
184464042,0,0,0,0,7,ᶠʷlaputa
187196169,78,8,70,70,62,Geoᶦᴺ
187860212,53,9,43,44,92,Dale349
178057683,39,5,32,33,29,Fairy Mah
187150925,157,18,138,138,139,ÑÙBŸ
179267647,26,3,23,23,28,PoNskie Farm
187130066,84,8,76,76,82,Kasperᶦᴺ
13713321,23,2,21,21,55,Uzï
32090653,48,3,44,44,87,achen
176576846,163,15,148,148,7,Bayekᶦᴺ
177708673,60,3,56,56,66,Chu Huong ツ
187716803,0,0,0,0,81,Angons farm
187197045,56,6,50,50,22,Pªᶦᶰ痛苦
187629462,81,6,74,75,45,Cтепаᶦᴺ
115932574,74,14,59,59,74,Bushido ᶦᴺ
186927791,25,8,16,17,46,邪恶Hirukuzu
177924281,56,8,48,48,41,Känö
57351658,31,5,26,26,69,H4lbertski
15923779,49,3,46,46,62,Si Mondu
185174938,16,2,14,14,11,ᴱʷUncleChill
185312057,0,0,0,0,10,ᴾᵂMingMingG
187339272,20,2,18,18,146,ÑŲBŸ
