governor_id,started,cancelled,completed,hit_target,joined,name
62957514,47,5,42,42,74,HieuVMxNewStart
56770031,53,4,49,49,91,BêarDöwn
163292091,61,5,56,56,72,AlongHK
174363386,91,25,66,66,52,Dino MENGANTUK
187152965,47,0,47,47,42,Beasty
187152986,45,1,44,44,51,Beautyy
187197045,99,7,92,92,108,Pªᶦᶰ痛苦
162392189,27,8,19,19,0,灰ZeroㆍMitaka
187200379,49,5,44,44,70,ᴮᵍᴿ tkhd
32090653,43,4,38,38,51,achen
187203561,25,4,21,21,72,Tᴏp Sᴇcret
177593900,132,26,106,106,83,TheGSquad
185924010,54,9,45,45,72,Lulu〤Kuro
187716803,0,0,0,0,69,Angons farm
187800242,48,9,39,39,72,king Angon
153170974,33,4,29,29,53,MaD ARES 乂
178779114,179,22,157,157,0,SmallLCN
187748373,13,0,13,13,8,achen f1
187860212,31,3,28,28,50,Dale349
177924281,41,5,36,36,36,Känö
51787215,26,0,26,26,20,BuckNakedly
179719789,20,4,16,16,17,ĐậuĐậu松
98351074,96,8,88,88,28,ᶦᴺBuckNaked
187130066,25,1,24,24,47,Kasperᶦᴺ
8849165,54,3,51,51,78,Rpgrisen
187389003,49,7,42,42,111,紅昭願
177708673,85,13,72,72,59,Chu Huong ツ
135041813,56,5,51,51,114,Bánh Bánh
80525087,62,11,51,51,28,ᴿᴱGooSeBump
185866462,154,13,141,141,139,Ari no me
134720015,73,14,59,59,115,Devil of Soul
187712562,46,8,38,38,22,Ucey Loosey
174585155,73,10,63,63,90,Daddy Avis
173295984,1,0,1,1,14,ᴼᵀOsamu
187799168,21,0,21,21,202,ˣøızysˣ
178806902,136,13,123,123,97,sᴏᴊɪʀᴏ
167259324,64,8,56,56,25,Anh 7 gàᶦᴺ
27509309,43,1,42,42,78,VeiLSide
176039213,15,2,13,13,29,Long Ju
176576846,35,7,28,28,17,Bayekᶦᴺ
187196169,44,7,37,37,11,Geoᶦᴺ
121127769,43,5,38,38,85,BillionDTᶦᴺ
127526974,138,22,116,116,98,Flaps Majora
177053483,29,3,26,26,58,ᴬᴴLucciola
177270007,8,1,7,7,45,ㄴShaknalㄱ
115932574,47,6,41,41,48,Bushido ᶦᴺ
163564251,9,1,8,8,9,MaD CYBORG 乂
177855818,36,3,33,33,50,Rakdos
177976291,63,7,56,56,69,CR鸟ZY
148086205,89,0,89,89,142,Naimaa
167512329,51,0,51,51,92,Naimaa mini
57351658,24,1,23,23,70,H4lbertski
178194046,36,2,34,34,75,Serein x 3606
173343263,40,6,34,34,50,ĀNU
24406548,6,0,6,6,6,ᴛsɴ STITCH
188436437,6,0,6,6,78,乂Youtab乂
187775892,74,6,68,68,67,寂Silfieshi
177811681,105,18,87,87,1,Papi Horst
179893859,47,10,37,37,13,亗Lord Chri
140663165,82,10,72,72,41,ᶠʳLouLou
64797310,19,2,17,17,27,Diego67
163023580,189,21,168,168,0,Panda 65
123461709,103,17,86,86,30,ᶦᴺAvantGard
46366830,55,2,53,53,0,Fevy
68803008,70,7,63,63,55,Simsbadger
22535429,9,2,7,7,13,Tati little
44967924,39,6,33,33,38,WZYº
15923779,47,8,39,39,75,Si Mondu
187824818,139,16,123,123,4,ᶦᴺHoboCop
178722915,76,0,76,76,69,命LarVatar
179005837,70,1,69,69,76,命Shanaía
178722545,68,11,56,56,108,Not PoNskie
41608562,12,1,11,11,19,Black CAT
9545014,53,7,46,46,71,亗 Shiro 亗
187196101,89,11,78,78,61,ᴬᴴrokishi
177454336,78,11,67,67,24,Papa Tony
174094283,49,6,43,43,28,Lil Tony
81422366,24,4,20,20,5,Sᴋ Setsuna
184237961,59,5,54,54,124,Kandee
184344021,48,5,43,43,66,Sìr Pøunds
188472124,0,0,0,0,123,乂Big Boss乂
179267647,17,2,15,15,26,PoNskie Farm
97694506,30,2,28,28,38,ᶦᴺWolfOne
186116391,45,4,41,41,23,hott pepper
123632846,34,4,30,30,24,teronako雨
35894604,75,6,69,69,76,ᶦᴺZvizy
179185466,17,1,16,16,62,义 Søsø 义
183632994,57,2,55,55,29,ˢʰᵒHunch
177327767,12,1,11,11,78,AKAA
187737008,49,10,39,39,41,VADYMᶦᴺ
178105884,30,3,27,27,7,RomFarm1
178000344,61,8,53,53,24,Romsᶦᴺ
