governor_id,started,cancelled,completed,hit_target,joined,name
81422366,224,43,181,181,86,灰Šataň
179719789,160,29,131,131,76,ĐậuĐậu松
163292091,220,26,194,194,308,AlongHK
187200379,156,22,134,134,283,ˣᵒHennessy
178722545,292,53,238,238,360,Not PoNskie
178806902,391,49,342,342,323,sᴏᴊɪʀᴏ
174585155,245,37,208,208,267,Avis ツ
62957514,334,55,279,279,97,HieuVMxNewStart
185123462,173,21,152,152,287,Tuananh21ᶦᴺ
185866462,531,55,476,476,475,Ari no me
187799168,49,1,48,48,575,ˣøızysˣ
187800242,245,43,202,202,233,king Angon
177327767,50,4,46,46,320,AKAA
177811515,21,0,21,21,68,Top1Riseᶦᴺ
187389003,219,38,181,181,429,紅昭願
183649821,1,1,0,0,1,ˢʰᵒTrav2408
98351074,343,28,315,315,100,ᶦᴺBuckNaked
177593900,340,58,282,282,152,TheGSquad
167259324,231,39,192,192,176,anh  7 gà
184464042,0,0,0,0,7,ᶠʷlaputa
187196169,206,25,181,181,138,Geoᶦᴺ
187860212,163,24,139,139,296,Dale349
178057683,110,15,95,95,62,Fairy Mah
187150925,441,42,399,399,179,ÑÙBŸ
179267647,57,6,51,51,75,PoNskie Farm
187130066,216,18,198,198,239,Kasperᶦᴺ
13713321,62,4,58,58,194,Uzï
32090653,152,12,139,139,235,achen
176576846,364,53,311,311,42,Bayekᶦᴺ
177708673,308,41,267,267,233,Chu Huong ツ
187716803,1,0,0,1,351,Angons farm
187197045,322,27,295,295,197,Pªᶦᶰ痛苦
187629462,129,9,117,120,74,Cтепаᶦᴺ
115932574,266,42,224,224,250,Bushido ᶦᴺ
186927791,122,21,101,101,337,邪恶Hirukuzu
177924281,193,23,170,170,161,Känö
57351658,89,7,82,82,240,H4lbertski
15923779,168,18,150,150,270,Si Mondu
185174938,53,4,49,49,87,ᴱʷUncleChill
185312057,0,0,0,0,19,ᴾᵂMingMingG
187339272,56,7,49,49,365,ÑŲBŸ
181064510,10,0,10,10,16,MentalDown
178194046,143,16,127,127,281,Serein x 3606
177454336,300,50,250,250,124,Papa Tony
183368244,124,17,102,105,109,JustZOE
174094283,168,25,143,143,126,Lil Tony
163023580,737,78,659,659,0,Panda 65
187712562,212,26,186,186,131,Ucey Loosey
174363386,276,69,207,207,219,Dino MENGANTUK
177053483,200,16,184,184,304,ᴬᴴLucciola
187664809,0,0,0,0,12,Tatiᶦᴺ
177760677,42,4,38,38,71,Mcrabbit j
187800002,46,10,36,36,195,Lurtzᶦᴺ
161701270,134,10,124,124,125,金猫Kosh
162392189,418,139,279,279,22,EMPERORㆍ灰Zero
187349574,129,14,115,115,129,kermit ᵏyriib
187283502,251,25,226,226,153,Nanog
188436437,35,1,34,34,362,乂Youtab乂
187775892,306,42,264,264,266,寂Silfieshi
177811681,356,57,299,299,5,Papi Horst
9545014,215,26,189,189,373,亗 Shiro 亗
70664943,110,5,105,105,110,NewDoryᶦᴺ
74340472,110,5,105,105,109,DorysGoldᶦᴺ
186810392,23,7,16,16,58,Nareomi
187794777,2,0,2,2,0,OldDoryᶦᴺ
179893859,253,44,209,209,101,亗Lord Chri
178117762,281,40,241,241,101,Rudiii
